schmidt_rank,tfim_discarded_weight,xxz_discarded_weight
1,0.6570827244076645,0.6622443494600483
2,0.3646311175114728,0.3841530168371752
4,0.09188304805396247,0.10700092098220729
8,0.0023447326607021167,0.025492719630841956
16,2.3185239619864785e-07,0.0001245708693915998
32,1.7177990482514267e-12,1.824431328493845e-06
64,9.895318466104805e-21,8.026813049572057e-11
128,0.0,0.0
